# Automatically generated
# duptype id depth size device inode priority name
DUPTYPE_FIRST_OCCURRENCE 9 1 1 2051 2253958 1 /home/armen/personal/tmp/git_playground_2025/b.txt
DUPTYPE_WITHIN_SAME_TREE -9 1 1 2051 2251700 1 /home/armen/personal/tmp/git_playground_2025/f1.txt
DUPTYPE_FIRST_OCCURRENCE 11 1 2 2051 2251695 1 /home/armen/personal/tmp/git_playground_2025/b2.txt
DUPTYPE_WITHIN_SAME_TREE -11 1 2 2051 3145769 1 /home/armen/personal/tmp/rclone_test/test2.txt
DUPTYPE_WITHIN_SAME_TREE -11 5 2 2051 2231261 1 /home/armen/personal/tmp/git_playground_2025/.git/modules/sub/gitest/COMMIT_EDITMSG
DUPTYPE_FIRST_OCCURRENCE 7355 8 9 2051 2263693 1 /home/armen/personal/tmp/git_playground_2025/node_modules/.pnpm/core-js@2.6.12/node_modules/core-js/library/modules/_regexp-exec-abstract.js
DUPTYPE_WITHIN_SAME_TREE -7355 8 9 2051 2264136 1 /home/armen/personal/tmp/git_playground_2025/node_modules/.pnpm/core-js@2.6.12/node_modules/core-js/library/modules/es6.regexp.exec.js
DUPTYPE_WITHIN_SAME_TREE -7355 8 9 2051 2263695 1 /home/armen/personal/tmp/git_playground_2025/node_modules/.pnpm/core-js@2.6.12/node_modules/core-js/modules/library/_regexp-exec-abstract.js
DUPTYPE_WITHIN_SAME_TREE -7355 8 9 2051 2263696 1 /home/armen/personal/tmp/git_playground_2025/node_modules/.pnpm/core-js@2.6.12/node_modules/core-js/library/modules/_regexp-exec.js
DUPTYPE_WITHIN_SAME_TREE -7355 8 9 2051 2263698 1 /home/armen/personal/tmp/git_playground_2025/node_modules/.pnpm/core-js@2.6.12/node_modules/core-js/modules/library/_regexp-exec.js
DUPTYPE_WITHIN_SAME_TREE -7355 8 9 2051 2264138 1 /home/armen/personal/tmp/git_playground_2025/node_modules/.pnpm/core-js@2.6.12/node_modules/core-js/modules/library/es6.regexp.exec.js
DUPTYPE_FIRST_OCCURRENCE 3651 7 21 2051 2263612 1 /home/armen/personal/tmp/git_playground_2025/node_modules/.pnpm/core-js@2.6.12/node_modules/core-js/modules/_iterators.js
DUPTYPE_WITHIN_SAME_TREE -3651 8 21 2051 2263611 1 /home/armen/personal/tmp/git_playground_2025/node_modules/.pnpm/core-js@2.6.12/node_modules/core-js/library/modules/_iterators.js
DUPTYPE_FIRST_OCCURRENCE 7318 8 23 2051 2263615 1 /home/armen/personal/tmp/git_playground_2025/node_modules/.pnpm/core-js@2.6.12/node_modules/core-js/library/modules/_library.js
DUPTYPE_WITHIN_SAME_TREE -7318 8 23 2051 2263617 1 /home/armen/personal/tmp/git_playground_2025/node_modules/.pnpm/core-js@2.6.12/node_modules/core-js/modules/library/_library.js
